"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
11163,0,"54.356054143333, 18.606597761667",5,
11164,0,"54.375116103333, 18.617857888333",5,
11165,0,"54.353472611667, 18.599841526667",7,
11166,0,"54.357971821667, 18.58587573",5,
11167,0,"54.357417911667, 18.58334007",0,
11168,0,"54.354110981667, 18.595469061667",5,
11169,0,"54.356554058333, 18.619396065",5,
11170,0,"54.349269511667, 18.551116903333",5,
11171,1,"54.344316246667, 18.562708408333",5,99199
11172,1,"54.3408601, 18.561282731667",9,98982
11173,0,"54.350890196667, 18.586075436667",5,
11174,1,"54.40905129, 18.586075875",5,98846
11175,0,"54.41365133, 18.588038715",5,
11176,0,"54.411653628333, 18.587574541667",8,
11177,1,"54.413121515, 18.592506163333",9,600096
11178,0,"54.416982908333, 18.591564588333",5,
11179,0,"54.415905123333, 18.58761088",9,
11180,0,"54.404039086667, 18.590313263333",5,
11181,0,"54.404953348333, 18.585074808333",5,
11182,0,"54.402576128333, 18.581572038333",5,
11183,0,"54.40307992, 18.58678759",5,
11184,0,"54.401548221667, 18.577139586667",9,
11185,0,"54.411965973333, 18.588548908333",5,
11186,7,"54.398595338333, 18.57639103",9,"98715,98448,99057,98930,98919,98825,98807"
11187,0,"54.341592091667, 18.56602078",9,
11188,0,"54.366008535, 18.612647331667",5,
11189,2,"54.370333531667, 18.616059221667",9,"98421,98309"
11190,0,"54.355295996667, 18.577676311667",5,
11191,0,"54.349972778333, 18.566169423333",9,
11192,1,"54.374690635, 18.60539831",5,600035
11193,1,"54.379006596667, 18.588564871667",5,98645
11194,0,"54.357425183333, 18.583022035",9,
11195,0,"54.36433327, 18.58888531",5,
11196,0,"54.380085045, 18.559862873333",9,
11197,0,"54.376570891667, 18.564868558333",9,
11198,0,"54.378466658333, 18.583874355",5,
11199,1,"54.374529371667, 18.566828525",5,98550
11200,1,"54.376691851667, 18.580357136667",5,98484
